Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
nexus-xyz/nexus-zkvm,2474,471,7,50,2025-07-11,Rust,50
nexus-xyz/nexus-cli,859,425,14,50,2025-07-13,Rust,47
VideoExpertsGroup/VXG.Media.SDK.Android,144,65,15,26,2025-05-30,Java,8
ruesandora/Nexus,112,135,0,2,2025-06-30,,3
dante4rt/Ramanode-Guides,106,67,2,17,2025-07-02,Shell,4
blackowltr/Testnetler-ve-Rehberler,86,136,0,11,2025-06-21,Shell,6
rmndkyl/MandaNode,50,12,0,1,2025-07-05,Shell,1
dxdyt/blog-web,37,16,0,0,2025-07-13,Python,2
OpenVnmrJ/OpenVnmrJ,34,15,32,50,2025-07-01,C,5
babybear-labs/benchmark,29,7,21,29,2025-07-10,Rust,5
stackrlabs/succinct-residency-exps,16,5,6,50,2025-07-02,Rust,3
ArmanKolozyan/ZKP-Languages,16,4,1,3,2025-06-17,Jupyter Notebook,1
winsnip/Nexus,14,6,1,1,2025-07-06,,1
arcxteam/nexus-node,12,5,1,1,2025-07-10,Shell,1
BrianSeong99/Agglayer_PessimisticProof_Benchmark,10,7,3,11,2025-06-14,Rust,4
vacp2p/nescience-zkvm-testing,10,2,6,6,2025-03-26,Rust,2
drkhayal/drkhayal,7,3,0,0,2025-04-03,,1
jules/nexus-nn,6,0,0,0,2024-10-08,Rust,1
SHAKTHIVASEE/For-Nexus-guide,6,38,0,0,2025-01-10,,1
ava-world/TUTORIALS,5,10,0,1,2024-12-11,,1
TristanCecil/Phishbot,5,8,1,1,2024-08-12,HTML,1
Pi-Squared-Inc/zk-benchmark,4,3,3,18,2025-04-08,Cairo,5
Marky-Shi/zk_notes,3,0,0,6,2025-07-08,Python,1
blocksense-network/zkVMs-benchmarks,2,7,2,35,2025-06-03,Rust,6
NethermindEth/zkvm-benchmarks,2,2,5,9,2025-06-09,Rust,1
guelowrd/zik-zak-zoo-nexus,1,0,0,0,2024-09-09,Rust,1
nncu1/nexus-c,1,0,0,0,2024-08-18,Shell,1
haoxins/tiny-demos,1,0,0,50,2025-02-21,Go,2
Vaseevani/Nexus-2.0-Guide,1,1,0,0,2025-01-10,,1
nexus-xyz/hipaa-demo,1,0,0,0,2025-07-11,Rust,1
grandchildrice/zkvm-benchmarks-docker,1,0,0,0,2025-02-05,Jupyter Notebook,1
pirapira/salary-nego,1,0,0,0,2024-05-09,Rust,1
nexus-xyz/mcp-zkvm,1,1,1,1,2025-07-11,Rust,1
BaffledHedgehog/lbc,1,0,0,0,2025-06-25,mcfunction,2
InfoardropCrypto/nexus,0,0,0,0,2024-10-10,,1
hidayahhtaufik/auranode,0,0,0,0,2025-07-04,JavaScript,1
Marky-Shi/nexus-zkvm-demo,0,0,0,1,2024-12-05,Rust,1
whonore/zk-sat,0,0,0,0,2024-05-17,Rust,1
jayyu23/starling-store,0,0,0,0,2025-06-10,Rust,1
GhostOfGauss/test-nexus-vm,0,0,0,0,2024-08-04,Rust,1
Skips1/Nexus,0,0,0,0,2024-07-07,,1
LawrencePatrickSianto/nexus-tester,0,0,0,0,2024-04-05,Rust,1
veithly/RickyBlog,0,0,2,16,2025-07-09,Astro,1
JusticeCofie/nexus,0,0,0,0,2025-07-02,Rust,1
newPepole123/nexus_xx_new,0,0,0,0,2025-06-11,Rust,1
lordx64/nexus-doom,0,0,0,0,2024-09-10,Rust,1
TobiasLoader/zk-playground,0,0,0,0,2024-07-26,Shell,1
flyq/nexus-fib-demo,0,0,0,0,2024-07-20,Rust,1
Abraxas618/TetraNexus,0,0,0,0,2025-04-16,Circom,2
LG-1/crpto_analysis,0,0,0,6,2025-05-25,Python,1
blackowltr/blackowltr.github.io,0,0,0,0,2024-08-29,JavaScript,2
alexbowe/nexus-project,0,0,0,2,2024-06-28,Rust,1
zieglerm31/poc,0,0,0,0,2024-10-08,TypeScript,1
krayir23/docs,0,0,0,0,2025-06-28,MDX,1
NehharShah/nexus-por,0,0,0,5,2025-06-23,Rust,1
Ferdimanaaa/nexus,0,0,0,0,2024-07-24,Shell,1
ronin207/loquat-nexus,0,0,0,0,2025-01-23,Rust,1
rishi95122/Frontend,0,0,0,0,2024-06-25,TypeScript,5
silathdiir/nexus-ex,0,0,0,0,2024-04-22,Rust,1
